#,width,height,size,price per size,selling price
1,100㎝,200㎝,2.00㎡,"15,000","30,000 "
2,140㎝,180㎝,2.52㎡,"15,000","37,800 "
3,200㎝,130㎝,2.60㎡,"15,000","39,000 "
4,86㎝,243㎝,2.09㎡,"15,000","31,347 "
5,90㎝,243㎝,2.19㎡,"15,000","32,805 "
6,116㎝,180㎝,2.09㎡,"15,000","31,320 "
7,120㎝,58㎝,.70㎡,"15,000","10,440 "
8,120㎝,58㎝,.70㎡,"15,000","10,440 "
9,116㎝,193㎝,2.24㎡,"15,000","33,582 "
10,93㎝,193㎝,1.79㎡,"15,000","26,924 "
11,88㎝,350㎝,3.08㎡,"15,000","46,200 "
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
